id,created_at,updated_at,language,name,description,is_alcoholic,category_id
680,2025-07-09 18:29:27.945+00,2025-07-09 18:29:27.945+00,RUS,Ликер gran marnier,,True,23
681,2025-07-09 18:29:27.952+00,2025-07-09 18:29:27.952+00,RUS,Ликер grand marnier,,True,23
682,2025-07-09 18:29:27.958+00,2025-07-09 18:29:27.958+00,RUS,Ликер green chartreuse,,True,23
683,2025-07-09 18:29:27.965+00,2025-07-09 18:29:27.965+00,RUS,Ликер greenchartreuse,,True,23
684,2025-07-09 18:29:27.971+00,2025-07-09 18:29:27.971+00,RUS,Ликер greme de menthe,,True,23
685,2025-07-09 18:29:27.978+00,2025-07-09 18:29:27.978+00,RUS,Ликер gremede menthe,,True,23
686,2025-07-09 18:29:27.984+00,2025-07-09 18:29:27.984+00,RUS,Ликер grenadine,,True,23
687,2025-07-09 18:29:27.99+00,2025-07-09 18:29:27.99+00,RUS,Ликер jambosala,,True,23
688,2025-07-09 18:29:27.996+00,2025-07-09 18:29:27.996+00,RUS,Ликер jaune chartreuså,,True,23
689,2025-07-09 18:29:28.002+00,2025-07-09 18:29:28.002+00,RUS,Ликер jaunechartreuså,,True,23
690,2025-07-09 18:29:28.008+00,2025-07-09 18:29:28.008+00,RUS,Ликер kahlua,,True,23
691,2025-07-09 18:29:28.014+00,2025-07-09 18:29:28.014+00,RUS,Ликер kontiki,,True,23
692,2025-07-09 18:29:28.02+00,2025-07-09 18:29:28.02+00,RUS,Ликер malibu,,True,23
693,2025-07-09 18:29:28.026+00,2025-07-09 18:29:28.026+00,RUS,Ликер maraschino,,True,23
694,2025-07-09 18:29:28.033+00,2025-07-09 18:29:28.033+00,RUS,Ликер midori,,True,23
695,2025-07-09 18:29:28.04+00,2025-07-09 18:29:28.04+00,RUS,Ликер mocca,,True,23
696,2025-07-09 18:29:28.046+00,2025-07-09 18:29:28.046+00,RUS,Ликер parfait amour,,True,23
697,2025-07-09 18:29:28.052+00,2025-07-09 18:29:28.052+00,RUS,Ликер passion fruit,,True,23
698,2025-07-09 18:29:28.058+00,2025-07-09 18:29:28.058+00,RUS,Ликер peach brandy,,True,23
699,2025-07-09 18:29:28.064+00,2025-07-09 18:29:28.064+00,RUS,Ликер peach schnapps,,True,23
700,2025-07-09 18:29:28.07+00,2025-07-09 18:29:28.07+00,RUS,Ликер pirshou,,True,23
701,2025-07-09 18:29:28.077+00,2025-07-09 18:29:28.077+00,RUS,Ликер pisang ambon,,True,23
702,2025-07-09 18:29:28.083+00,2025-07-09 18:29:28.083+00,RUS,Ликер sherry cream,,True,23
703,2025-07-09 18:29:28.089+00,2025-07-09 18:29:28.089+00,RUS,Ликер southern comfort,,True,23
704,2025-07-09 18:29:28.096+00,2025-07-09 18:29:28.096+00,RUS,Ликер southerncomfor,,True,23
705,2025-07-09 18:29:28.102+00,2025-07-09 18:29:28.102+00,RUS,Ликер southerncomfort,,True,23
706,2025-07-09 18:29:28.109+00,2025-07-09 18:29:28.109+00,RUS,Ликер sîutherncomfort,,True,23
707,2025-07-09 18:29:28.114+00,2025-07-09 18:29:28.114+00,RUS,Ликер triple sec,,True,23
708,2025-07-09 18:29:28.12+00,2025-07-09 18:29:28.12+00,RUS,Ликер yellowchartreuse,,True,23
709,2025-07-09 18:29:28.127+00,2025-07-09 18:29:28.127+00,RUS,Ликер Личи,,True,23
710,2025-07-09 18:29:28.133+00,2025-07-09 18:29:28.133+00,RUS,Ликер из киви,,True,23
711,2025-07-09 18:29:28.139+00,2025-07-09 18:29:28.139+00,RUS,Ликер сreme de cacao,,True,23
712,2025-07-09 18:29:28.145+00,2025-07-09 18:29:28.145+00,RUS,Ликер сurasao,,True,23
713,2025-07-09 18:29:28.151+00,2025-07-09 18:29:28.151+00,RUS,Ликер сurasao triple sec,,True,23
714,2025-07-09 18:29:28.157+00,2025-07-09 18:29:28.157+00,RUS,Ликер сurasao triplesec,,True,23
715,2025-07-09 18:29:28.163+00,2025-07-09 18:29:28.163+00,RUS,Лимон,,False,31
716,2025-07-09 18:29:28.169+00,2025-07-09 18:29:28.169+00,RUS,Лимонад,,False,17
717,2025-07-09 18:29:28.176+00,2025-07-09 18:29:28.176+00,RUS,Лимонная кожура,,False,31
