id,created_at,updated_at,language,name,description,category_id
540,2025-08-18 16:04:54.162754+00,2025-08-18 16:04:54.162759+00,RUS,Темный (черный),NULL,49
541,2025-08-18 16:04:54.163632+00,2025-08-18 16:04:54.163636+00,ENG,Dark (black),NULL,1
542,2025-08-18 16:04:54.165288+00,2025-08-18 16:04:54.165296+00,RUS,Солодовый,NULL,36
543,2025-08-18 16:04:54.166243+00,2025-08-18 16:04:54.166247+00,ENG,Malt,NULL,18
544,2025-08-18 16:04:54.16767+00,2025-08-18 16:04:54.167674+00,RUS,Зерновой,NULL,36
545,2025-08-18 16:04:54.168462+00,2025-08-18 16:04:54.168465+00,ENG,Grain Whisky,NULL,18
546,2025-08-18 16:04:54.169849+00,2025-08-18 16:04:54.169853+00,RUS,Односолодовый скотч,NULL,36
547,2025-08-18 16:04:54.170618+00,2025-08-18 16:04:54.170622+00,ENG,Single Malt Scotch,NULL,18
548,2025-08-18 16:04:54.171958+00,2025-08-18 16:04:54.171961+00,RUS,Купажированный солодовый,NULL,36
549,2025-08-18 16:04:54.17271+00,2025-08-18 16:04:54.172713+00,ENG,Blended Whisky,NULL,18
550,2025-08-18 16:04:54.174063+00,2025-08-18 16:04:54.174067+00,RUS,Бочковой крепости,NULL,36
551,2025-08-18 16:04:54.174821+00,2025-08-18 16:04:54.174825+00,ENG,Cask strength/barrel proof,NULL,18
552,2025-08-18 16:04:54.176276+00,2025-08-18 16:04:54.17628+00,RUS,Бурбон,NULL,36
553,2025-08-18 16:04:54.177053+00,2025-08-18 16:04:54.177056+00,ENG,Bourbon,NULL,18
554,2025-08-18 16:04:54.17841+00,2025-08-18 16:04:54.178413+00,RUS,Кукурузный,NULL,36
555,2025-08-18 16:04:54.179166+00,2025-08-18 16:04:54.17917+00,ENG,corn,NULL,18
556,2025-08-18 16:04:54.180906+00,2025-08-18 16:04:54.180916+00,RUS,Ржаной,NULL,36
557,2025-08-18 16:04:54.18204+00,2025-08-18 16:04:54.182045+00,ENG,Rye Whiskey,NULL,18
558,2025-08-18 16:04:54.183472+00,2025-08-18 16:04:54.183476+00,RUS,Теннессийский,NULL,36
559,2025-08-18 16:04:54.184307+00,2025-08-18 16:04:54.184311+00,ENG,Tennessee,NULL,18
560,2025-08-18 16:04:54.185627+00,2025-08-18 16:04:54.185631+00,RUS,Коньяк 3*,NULL,46
561,2025-08-18 16:04:54.18647+00,2025-08-18 16:04:54.186474+00,ENG,V.S (Very Special),NULL,25
562,2025-08-18 16:04:54.187838+00,2025-08-18 16:04:54.187842+00,RUS,Коньяк 4*,NULL,46
563,2025-08-18 16:04:54.188586+00,2025-08-18 16:04:54.188589+00,ENG,Superior,NULL,25
564,2025-08-18 16:04:54.189893+00,2025-08-18 16:04:54.189896+00,RUS,Коньяк 5*,NULL,46
565,2025-08-18 16:04:54.190641+00,2025-08-18 16:04:54.190644+00,ENG,V.S.O.P. (Very Superior Old Pale),NULL,25
566,2025-08-18 16:04:54.191972+00,2025-08-18 16:04:54.191976+00,RUS,Коньяк 6*,NULL,46
567,2025-08-18 16:04:54.192817+00,2025-08-18 16:04:54.192821+00,ENG,V.O. (Very Old),NULL,25
568,2025-08-18 16:04:54.194411+00,2025-08-18 16:04:54.194414+00,RUS,Коньяк более 6*,NULL,46
569,2025-08-18 16:04:54.195164+00,2025-08-18 16:04:54.195168+00,ENG,Vieux,NULL,25
570,2025-08-18 16:04:54.196327+00,2025-08-18 16:04:54.196332+00,ENG,Reserve,NULL,25
571,2025-08-18 16:04:54.197787+00,2025-08-18 16:04:54.197796+00,ENG,V.V.S.O.P. (Very Very Superior Old Pale),NULL,25
572,2025-08-18 16:04:54.199109+00,2025-08-18 16:04:54.199114+00,ENG,Grande Reserve,NULL,25
573,2025-08-18 16:04:54.200302+00,2025-08-18 16:04:54.200305+00,ENG,X.O. (Extra Old),NULL,25
574,2025-08-18 16:04:54.201394+00,2025-08-18 16:04:54.201398+00,ENG,Extra,NULL,25
575,2025-08-18 16:04:54.202477+00,2025-08-18 16:04:54.202481+00,ENG,Napoleon,NULL,25
576,2025-08-18 16:04:54.203539+00,2025-08-18 16:04:54.203543+00,ENG,Royal,NULL,25
577,2025-08-18 16:04:54.204605+00,2025-08-18 16:04:54.204609+00,ENG,Tres Vieux,NULL,25
578,2025-08-18 16:04:54.205678+00,2025-08-18 16:04:54.205681+00,ENG,Vieille Reserve Braastad,NULL,25
579,2025-08-18 16:04:54.207013+00,2025-08-18 16:04:54.207017+00,RUS,Cеребряная или белая,NULL,38
580,2025-08-18 16:04:54.207784+00,2025-08-18 16:04:54.207788+00,ENG,"plata (silver), blanco",NULL,29
581,2025-08-18 16:04:54.209211+00,2025-08-18 16:04:54.209214+00,RUS,Золотая,NULL,38
582,2025-08-18 16:04:54.209978+00,2025-08-18 16:04:54.209981+00,ENG,oro (golden),NULL,29
583,2025-08-18 16:04:54.211419+00,2025-08-18 16:04:54.211423+00,RUS,Отдохнувшая,NULL,38
584,2025-08-18 16:04:54.212177+00,2025-08-18 16:04:54.21218+00,ENG,reposado,NULL,29
585,2025-08-18 16:04:54.213565+00,2025-08-18 16:04:54.21357+00,RUS,Выдержанная,NULL,38
586,2025-08-18 16:04:54.214549+00,2025-08-18 16:04:54.214557+00,ENG,añejo,NULL,29
587,2025-08-18 16:04:54.216281+00,2025-08-18 16:04:54.21629+00,RUS,Экстра-выдержанная,NULL,38
588,2025-08-18 16:04:54.217226+00,2025-08-18 16:04:54.217231+00,ENG,extra añejo,NULL,29
589,2025-08-18 16:04:54.21872+00,2025-08-18 16:04:54.218723+00,RUS,Фруктовый,NULL,23
590,2025-08-18 16:04:54.219527+00,2025-08-18 16:04:54.21953+00,ENG,Fruit,NULL,3
591,2025-08-18 16:04:54.220913+00,2025-08-18 16:04:54.220917+00,RUS,Кофейный,NULL,23
592,2025-08-18 16:04:54.221704+00,2025-08-18 16:04:54.221707+00,ENG,Coffee,NULL,3
593,2025-08-18 16:04:54.223004+00,2025-08-18 16:04:54.223007+00,RUS,Травяной и пряный,NULL,23
594,2025-08-18 16:04:54.223726+00,2025-08-18 16:04:54.22373+00,ENG,Herbal and Spiced,NULL,3
595,2025-08-18 16:04:54.225077+00,2025-08-18 16:04:54.225081+00,RUS,Мятный,NULL,23
596,2025-08-18 16:04:54.225846+00,2025-08-18 16:04:54.22585+00,ENG,Mint,NULL,3
597,2025-08-18 16:04:54.227384+00,2025-08-18 16:04:54.227389+00,RUS,Сливочный,NULL,23
598,2025-08-18 16:04:54.228161+00,2025-08-18 16:04:54.228165+00,ENG,Cream,NULL,3
599,2025-08-18 16:04:54.229531+00,2025-08-18 16:04:54.229535+00,RUS,Ягодный,NULL,23
600,2025-08-18 16:04:54.230424+00,2025-08-18 16:04:54.230428+00,ENG,Berry,NULL,3
601,2025-08-18 16:04:54.232125+00,2025-08-18 16:04:54.232133+00,RUS,Ореховый,NULL,23
602,2025-08-18 16:04:54.233006+00,2025-08-18 16:04:54.23301+00,ENG,Nut,NULL,3
603,2025-08-18 16:04:54.234493+00,2025-08-18 16:04:54.234497+00,RUS,Медовый,NULL,23
604,2025-08-18 16:04:54.235289+00,2025-08-18 16:04:54.235292+00,ENG,Honey,NULL,3
605,2025-08-18 16:04:54.236537+00,2025-08-18 16:04:54.23654+00,RUS,Кальвадос,NULL,54
606,2025-08-18 16:04:54.237281+00,2025-08-18 16:04:54.237284+00,ENG,Calvados,NULL,11
607,2025-08-18 16:04:54.238666+00,2025-08-18 16:04:54.238671+00,RUS,Граппа,NULL,54
608,2025-08-18 16:04:54.239482+00,2025-08-18 16:04:54.239485+00,ENG,Grappa,NULL,11
609,2025-08-18 16:04:54.240846+00,2025-08-18 16:04:54.240849+00,RUS,Писко,NULL,54
610,2025-08-18 16:04:54.24161+00,2025-08-18 16:04:54.241614+00,ENG,Pisco,NULL,11
